time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
1.49,8.390317063,18.0315005,1.14638355
1.495,8.390139274,18.043253,1.1465005
1.5,8.390672802,18.086347,1.1479202
1.505,8.389783616,18.015829,1.148271
1.51,8.390495013,18.04717,1.14765295
1.515,8.390080011,18.0393345,1.1485215
1.52,8.390613539,18.0902645,1.1503755
1.525,8.390198618,18.0354175,1.149674
1.53,8.390791328,18.051088,1.14980765
1.535,8.389724272,18.066759,1.1518788
1.54,8.389665009,18.0510885,1.1524634
1.545,8.38948714,18.0197475,1.15197905
1.55,8.388835087,18.035418,1.1539667
1.555,8.389902061,18.113771,1.1554532
1.56,8.388420085,18.019747,1.1566224
1.565,8.388183033,18.0315,1.1567226
1.57,8.38735311,18.0158295,1.1581423
1.575,8.387530899,18.0667595,1.16018005
1.58,8.387175241,18.0236655,1.15947855
1.585,8.387827294,18.051089,1.1594786
1.59,8.387590162,18.098101,1.16246835
1.595,8.38717516,18.0863485,1.1633536
1.6,8.386760158,18.082431,1.1619339
1.605,8.38563384,18.0550075,1.16463975
1.61,8.386582288,18.16862,1.16473995
1.615,8.386108024,18.121608,1.16597595
1.62,8.386108024,18.1294435,1.16724535
1.625,8.385930235,18.1529495,1.16727875
1.63,8.385870891,18.207797,1.168331
1.635,8.385989498,18.184291,1.16919955
1.64,8.385515233,18.160785,1.16826425
1.645,8.386641551,18.199961,1.1694668
1.65,8.386523025,18.1960435,1.16325336
1.655,8.386937946,18.2665615,1.15251351
1.66,8.385989498,18.203879,1.14974086
1.665,8.386582288,18.293985,1.15109376
1.67,8.386345156,18.2979025,1.15202916
1.675,8.385752365,18.278314,1.15371611
1.68,8.386048761,18.321408,1.15548661
1.685,8.385574496,18.333161,1.15580391
1.69,8.385752446,18.376255,1.15675596
1.695,8.384744735,18.376255,1.15812561
1.7,8.385100393,18.3723375,1.1658757
1.705,8.385159737,18.388008,1.16869846
1.71,8.385693183,18.4389375,1.16457291
1.715,8.385159737,18.388008,1.15924476
1.72,8.385633921,18.4350195,1.16001306
1.725,8.385219,18.431102,1.16231806
1.73,8.384329895,18.4115135,1.16226796
1.735,8.384448421,18.4311015,1.16375451
1.74,8.383677761,18.403678,1.16590916
1.745,8.3840335,18.4350195,1.16585901
1.75,8.383144395,18.4467725,1.16814726
1.755,8.382551604,18.399761,1.1766657
1.76,8.382907343,18.423267,1.18558495
1.765,8.382670211,18.43502,1.19211575
1.77,8.382966687,18.4154315,1.1923997
1.775,8.383915055,18.442855,1.190078
1.78,8.383440871,18.4311025,1.19118035
1.785,8.383559478,18.4781145,1.191481
1.79,8.384152268,18.48595,1.19042875
1.795,8.383203739,18.4585265,1.1910635
1.8,8.383974318,18.478115,1.19203225
1.805,8.38361866,18.4585265,1.1932014
1.81,8.382848,18.431103,1.1943706
1.815,8.38361866,18.478115,1.1946044
1.82,8.382314553,18.450692,1.194404
1.825,8.382314634,18.47028,1.1961244
1.83,8.383559397,18.489868,1.196709
1.835,8.38284808,18.4428565,1.19712655
1.84,8.383025869,18.4898685,1.19852955
1.845,8.38421145,18.540798,1.2000161
1.85,8.383322264,18.493786,1.19899725
1.855,8.383559316,18.5447155,1.20014975
1.86,8.383737185,18.568221,1.2022209
1.865,8.382847919,18.525127,1.20245475
1.87,8.383737104,18.5995625,1.2046595
