t,mox,F,Pc,of,mf,eta
9.5,0.008342598154999999,19.2420565,1157338.32,0.9484654040776105,0.008795890834956955,0.9782476461724292
9.505,0.008342420367000001,19.2812335,1158557.6199999999,0.9446379054698887,0.00883134195514868,0.9782476461724292
9.51,0.008342123891,19.234222,1158691.245,0.9441017594100206,0.008836043157268431,0.9782476461724292
9.515,0.008342835288,19.2381395,1156820.5350000001,0.9501733380773355,0.00878032981317033,0.9782476461724292
9.52,0.008342716681000001,19.2185515,1157304.915,0.9486202316357786,0.008794580173157403,0.9782476461724292
9.525,0.008341590444,19.195045999999998,1157405.135,0.9478213696545121,0.008800804361522857,0.9782476461724292
9.53,0.008342064627999999,19.187210500000003,1157421.8299999998,0.9479756238513868,0.008799872505274224,0.9782476461724292
9.535,0.00834247963,19.179375,1155784.96,0.9532473571223542,0.008751642024147988,0.9782476461724292
9.54,0.008341175522999998,19.198963,1154582.365,0.9564537431330865,0.00872093980800006,0.9782476461724292
9.545,0.008341649788,19.1950455,1155267.18,0.9545062373221079,0.008739230255218357,0.9782476461724292
9.55,0.008341590444,19.253811,1156269.34,0.9513443019111537,0.00876821401804015,0.9782476461724292
9.555,0.008341886758,19.1989635,1154148.0950000002,0.9581432535016265,0.008706304331334352,0.9782476461724292
9.56,0.008342123970999999,19.2538105,1154515.555,0.9570849995938663,0.00871617878719229,0.9782476461724292
9.565,0.008341649707,19.226387,1156553.295,0.9504863219546941,0.008776191213194137,0.9782476461724292
9.57,0.00834247963,19.245975,1155968.7,0.9526724204797303,0.008756923629424518,0.9782476461724292
9.575,0.008343309553,19.269481,1155317.295,0.9550806244524435,0.00873571229421945,0.9782476461724292
9.58,0.00834247963,19.281234,1154983.24,0.9557659797022867,0.008728579806323106,0.9782476461724292
9.585,0.008342835288,19.2694815,1155517.725,0.9542416975686479,0.008742895336954,0.9782476461724292
9.59,0.008343309553,19.2107165,1156119.02,0.9525666644567875,0.008758767091390786,0.9782476461724292
9.595,0.008342953894,19.2538105,1154799.505,0.9565553751108616,0.008721872367329573,0.9782476461724292
9.6,0.00834325029,19.230304,1153730.53,0.9600772211079777,0.008690186691828253,0.9782476461724292
9.605,0.008342598236,19.234222,1154047.8800000001,0.958777537237862,0.00870128670310128,0.9782476461724292
9.61,0.008342953812999999,19.2107165,1152494.5250000001,0.9638991971069725,0.008655421477723368,0.9782476461724292
