t,mox,F,Pc,of,mf,lambda,Pe,Ve,cstr_ex,eta,dof,dmf
0.375,0.332150154,1122.700445,1753855.7,0.68864291,0.482325671,0.921191235,990554.0235,818.3736085,1232.914811,1.018916263,0.01400395,0.009612887
0.38,0.333630652,1134.10744,1767670.3,0.676837131,0.492926048,0.921191235,999357.5959,814.7798486,1224.46401,1.014940838,0.013035233,0.009313906
0.385,0.335392727,1146.139525,1781048.65,0.665161929,0.504227185,0.921191235,1007932.791,811.3184584,1214.536197,1.009554031,0.012055106,0.008975723
0.39,0.337111326,1157.7809,1794063.4,0.654709252,0.51490234,0.921191235,1016225.145,808.3063197,1205.61498,1.004556587,0.011235385,0.008687098
0.395,0.338899436,1169.3442,1807659.8,0.645788499,0.524783945,0.921191235,1024737.87,805.8112022,1198.338594,1.000445872,0.010598885,0.008473844
0.4,0.341001359,1182.2357,1822346.85,0.636533903,0.535715942,0.921191235,1033920.805,803.2869573,1190.114847,0.995512952,0.009929177,0.008228186
0.405,0.342988866,1195.75225,1836524.95,0.625652799,0.548209593,0.921191235,1042984.401,800.3818725,1179.885369,0.989141757,0.009173199,0.007921597
0.41,0.344932579,1208.2531,1848812.65,0.616043213,0.559916207,0.921191235,1050878.542,797.8875749,1169.861115,0.982564827,0.008498162,0.007618805
0.415,0.347280175,1218.4882,1860082.4,0.612160204,0.567302763,0.921191235,1057669.621,796.9336459,1164.465156,0.978687209,0.008163892,0.007466095
0.42,0.350089421,1228.41075,1871170.4,0.610579552,0.573372332,0.921191235,1064142.919,796.5837125,1160.143832,0.975259939,0.007917993,0.007340301
0.425,0.352993016,1239.8959,1882440.15,0.606566075,0.581953115,0.921191235,1070955.246,795.6114041,1152.794772,0.969737078,0.007512025,0.007119039
0.43,0.355934062,1251.1467,1893746.25,0.603270023,0.59000787,0.921191235,1077724.488,794.8325504,1146.237779,0.964728503,0.007162335,0.00692269
0.435,0.359129874,1262.0068,1905379.6,0.601850632,0.596709307,0.921191235,1084501.638,794.5351992,1141.337514,0.960762318,0.00691326,0.006776366
0.44,0.362468565,1272.63255,1916394.95,0.601008782,0.60310028,0.921191235,1090871.258,794.3806968,1136.368491,0.956638334,0.006672612,0.00662231
0.445,0.365740182,1282.24255,1925338.05,0.600531687,0.609027284,0.921191235,1096023.166,794.3069832,1130.897849,0.952044098,0.006451883,0.006473606
0.45,0.368911781,1289.9774,1933117.8,0.602314324,0.612490466,0.921191235,1100288.534,794.7957744,1127.791149,0.9490493,0.006322323,0.006362355
0.455,0.372286837,1297.63415,1941370.15,0.60518532,0.615161711,0.921191235,1104716.17,795.5656859,1125.670493,0.946682875,0.006240586,0.006278716
0.46,0.375499256,1305.91595,1949913.35,0.606565089,0.61905847,0.921191235,1109456.416,795.9603774,1122.54233,0.943733438,0.006104419,0.006168077
0.465,0.37848459,1314.19775,1957075.1,0.606419074,0.624130419,0.921191235,1113558.638,795.9581237,1117.611082,0.939556883,0.00586548,0.00597896
0.47,0.381488512,1321.38575,1964600.4,0.608335139,0.627102541,0.921191235,1117664.665,796.4856844,1115.261029,0.937173903,0.005782948,0.005905218
0.475,0.384589878,1328.4956,1973361.75,0.611479427,0.628949823,0.921191235,1122354.662,797.3393043,1114.765066,0.936109936,0.00576998,0.005879355
0.48,0.387602114,1337.0118,1981832.25,0.611680607,0.633667488,0.921191235,1127169.276,797.4308007,1111.07633,0.932908918,0.005601433,0.00575012
0.485,0.390627749,1344.90295,1988957.6,0.612235916,0.638034683,0.921191235,1131181.278,797.6074775,1107.057187,0.92937663,0.005421831,0.0056007
0.49,0.393951451,1351.544,1995101.45,0.615395123,0.640160177,0.921191235,1134375.036,798.4600735,1104.625265,0.926700163,0.005321625,0.00548832
0.495,0.397450161,1357.2475,2001754.3,0.621111869,0.639901087,0.921191235,1137607.386,800.0013882,1104.847522,0.925748539,0.005344349,0.005459048
0.5,0.400921364,1363.8886,2008552.5,0.625187086,0.641282223,0.921191235,1141085.492,801.1233916,1103.438249,0.923723659,0.005286096,0.005376723
0.505,0.404373013,1370.4515,2015714.3,0.629572137,0.642298141,0.921191235,1144741.21,802.3432181,1102.646063,0.922137582,0.005253612,0.005315451
0.51,0.4059658,1376.85815,2023057.85,0.627876908,0.646569089,0.921191235,1149096.011,801.9123131,1100.497882,0.920622242,0.005146295,0.005256419
0.515,0.407464135,1383.2648,2030001.45,0.625649754,0.651265556,0.921191235,1153276.603,801.3378979,1097.813748,0.918762665,0.00501559,0.00517942
0.52,0.408810379,1388.89015,2034654.8,0.622991928,0.656204938,0.921191235,1156194.964,800.6420834,1093.836203,0.91591471,0.004830196,0.005048561
0.525,0.410167879,1393.7342,2038399.3,0.621253206,0.66022658,0.921191235,1158504.802,800.1925759,1090.342195,0.913294323,0.004670954,0.004926936
0.53,0.411707144,1397.87505,2043997.85,0.622413436,0.66146892,0.921191235,1161584.077,800.5255554,1090.503005,0.91316574,0.00467512,0.004931435
0.535,0.41314735,1403.4223,2051196,0.621722932,0.664520044,0.921191235,1165760.783,800.3705762,1089.782494,0.912641635,0.004638317,0.00492089
0.54,0.414438692,1409.67275,2057049,0.618596202,0.669966435,0.921191235,1169415.098,799.563264,1086.101678,0.910108159,0.004472334,0.004808963
0.545,0.41584108,1414.59495,2059993.65,0.616501863,0.674517151,0.921191235,1171307.216,799.0225987,1081.718071,0.90680372,0.004281076,0.00465164
0.55,0.417457715,1416.93885,2061302.4,0.618521681,0.674928185,0.921191235,1171850.315,799.5612024,1080.396162,0.90531028,0.004222045,0.004575843
0.555,0.419146353,1419.0484,2063447.25,0.621649058,0.674249157,0.921191235,1172759.509,800.4016868,1080.521704,0.904810867,0.004223413,0.004549861
0.56,0.420854145,1422.1736,2068064.25,0.624524577,0.673879237,0.921191235,1175105.19,801.1920767,1081.615931,0.905143674,0.004265817,0.004571707
0.565,0.422490685,1426.8614,2074535.35,0.625542818,0.675398507,0.921191235,1178694.737,801.494067,1081.881612,0.905121935,0.004272761,0.004582002
0.57,0.424044314,1432.3305,2080170.2,0.624473343,0.679043098,0.921191235,1182016.753,801.2300654,1079.70808,0.903468032,0.004174945,0.004509624
0.575,0.425606282,1435.84635,2083078.55,0.625228949,0.68072069,0.921191235,1183599.683,801.4463408,1078.051619,0.901915291,0.004099783,0.004434577
0.58,0.427189895,1437.7996,2084205.55,0.627720645,0.680541414,0.921191235,1183991.86,802.1256635,1077.267423,0.900768795,0.004059362,0.004372668
0.585,0.428907163,1439.59655,2086641.3,0.631697782,0.678975257,0.921191235,1184982.255,803.2222746,1078.379287,0.900899222,0.004098749,0.004377107
0.59,0.430514269,1442.48735,2091258.25,0.634692566,0.678303627,0.921191235,1187315.245,804.0681817,1079.853525,0.901498384,0.004155102,0.004411725
0.595,0.432047257,1446.55015,2095729.85,0.635291795,0.680076872,0.921191235,1189804.228,804.254395,1078.945345,0.900586026,0.004110389,0.004371866
0.6,0.43362603,1451.00355,2100092.35,0.635290788,0.682563069,0.921191235,1192290.709,804.2742345,1077.253777,0.899141277,0.004030734,0.004303359
0.605,0.435218048,1455.7695,2104418.5,0.634765904,0.685635517,0.921191235,1194808.778,804.149153,1074.980641,0.897316362,0.003926588,0.004215187
0.61,0.436622508,1460.1448,2107544.95,0.633613374,0.689099262,0.921191235,1196706.22,803.845518,1071.922016,0.894969101,0.003790578,0.004098005
0.615,0.438048687,1462.87935,2109617.1,0.634762034,0.690099067,0.921191235,1197771.749,804.1728263,1070.668593,0.893678384,0.003733339,0.004035071
0.62,0.439626566,1464.7545,2112707.2,0.638554126,0.68847189,0.921191235,1199152.488,805.2423394,1072.283731,0.894239754,0.003784898,0.00405673
0.625,0.441116592,1468.19225,2117106.05,0.640062093,0.689177811,0.921191235,1201507.602,805.6860288,1072.428744,0.894020142,0.003782918,0.004049271
0.63,0.442440263,1472.17695,2120777.8,0.639597376,0.69174809,0.921191235,1203645.602,805.5737755,1070.600385,0.892562351,0.003703756,0.003982685
0.635,0.443769397,1474.3646,2122122.9,0.640984298,0.692324911,0.921191235,1204272.974,805.9697763,1069.482192,0.891337203,0.003644532,0.003914191
0.64,0.445297617,1475.84905,2124267.85,0.644777326,0.690622325,0.921191235,1205116.034,807.0522542,1070.727512,0.891577036,0.003682431,0.003921861
0.645,0.446689126,1478.34925,2128157.7,0.647368052,0.690007987,0.921191235,1207073.124,807.8096212,1071.954766,0.892027813,0.003719903,0.003942267
0.65,0.447973385,1481.2401,2130666.15,0.648022171,0.6912933,0.921191235,1208436.199,808.0092682,1070.797672,0.890908151,0.003665017,0.003887758
0.655,0.449432809,1482.8027,2132083.95,0.651066914,0.690302025,0.921191235,1208941.3,808.8911428,1071.070083,0.890480284,0.003659742,0.003858598
0.66,0.451037166,1485.3029,2136010.2,0.65446709,0.689167069,0.921191235,1210839.73,809.8954674,1072.600715,0.890994045,0.003706357,0.003880891
0.665,0.452343861,1489.9126,2141463.35,0.653815228,0.691852746,0.921191235,1214007.29,809.7336628,1071.58691,0.890249227,0.003663494,0.003855028
0.67,0.453370491,1495.1473,2145862.2,0.650441499,0.697019627,0.921191235,1216845.634,808.7805308,1068.006994,0.887958708,0.003514957,0.003746418
0.675,0.454680692,1498.7413,2148806.85,0.650187008,0.699307562,0.921191235,1218547.049,808.7221767,1066.137947,0.88643561,0.003425361,0.003664834
0.68,0.456026918,1502.179,2152842.15,0.650988621,0.700514423,0.921191235,1220763.946,808.9734757,1065.782135,0.885939141,0.0034013,0.00364104
0.685,0.457001461,1506.7106,2157677.2,0.648999321,0.704163234,0.921191235,1224333.632,808.0808628,1063.922662,0.884774812,0.003332358,0.003597133
0.69,0.457863546,1510.3046,2160040.2,0.646898222,0.707782971,0.921191235,1225891.275,807.491069,1060.992644,0.882757886,0.003206004,0.003490448
0.695,0.458917141,1512.41405,2161894.3,0.647782543,0.708443205,0.921191235,1226858.168,807.7531907,1060.344357,0.882020549,0.003166398,0.003446066
0.7,0.459912015,1514.91425,2165965.95,0.649081325,0.708558384,0.921191235,1229046.351,808.1458267,1061.33215,0.882539814,0.003201116,0.003477294
0.705,0.460671588,1518.8208,2169819.5,0.646969066,0.712045772,0.921191235,1231454.912,807.5599411,1059.369984,0.881318659,0.003124792,0.003422575
0.71,0.461505143,1521.00845,2170110.3,0.64606886,0.714328103,0.921191235,1231711.801,807.304503,1056.704318,0.879284769,0.003025854,0.003329949
0.715,0.462610662,1521.0085,2169455.9,0.649373143,0.712395742,0.921191235,1231004.735,808.2469361,1057.129038,0.878957334,0.0030038,0.003280151
0.72,0.463729587,1521.3992,2171382.7,0.653600927,0.709499585,0.921191235,1231676.426,809.4775313,1059.670709,0.880164398,0.003087501,0.003335799
0.725,0.464532404,1524.6025,2175963.35,0.653290369,0.711065747,0.921191235,1234316.216,809.409827,1059.766267,0.880274836,0.003092998,0.003350671
0.73,0.465436369,1528.82155,2179598.75,0.650947773,0.715013382,0.921191235,1236623.028,808.7497964,1057.173954,0.878588186,0.003006512,0.003287227
0.735,0.4665446,1531.71235,2181416.45,0.650601041,0.717097838,0.921191235,1237693.495,808.6585616,1055.201659,0.877008073,0.002917366,0.00320119
0.74,0.467525996,1533.6656,2183125.05,0.651427614,0.717694471,0.921191235,1238583.146,808.9052003,1054.62213,0.876340346,0.002883041,0.003162324
0.745,0.468447307,1535.30635,2184942.75,0.652673231,0.717736356,0.921191235,1239492.614,809.2741063,1054.643143,0.876082126,0.002872779,0.003145314
0.75,0.46936215,1537.4158,2187087.65,0.653256002,0.718496498,0.921191235,1240655.464,809.4531624,1054.189858,0.875566604,0.002845993,0.003116644
0.755,0.470152887,1539.9941,2190359.5,0.653250066,0.719713494,0.921191235,1242519.753,809.4667536,1053.985452,0.875373737,0.002835801,0.003110819
0.76,0.470812655,1544.21315,2195194.6,0.650821036,0.723413395,0.921191235,1245520.59,808.7865314,1052.455871,0.874577829,0.00278545,0.003082943
0.765,0.471472252,1548.8228,2199484.4,0.647438036,0.728212163,0.921191235,1248310.024,807.8343801,1049.714699,0.872970205,0.002688992,0.00301196
0.77,0.472097016,1551.79175,2201338.4,0.645426012,0.731450248,0.921191235,1249572.836,807.2686297,1047.227575,0.871300732,0.002594039,0.002928012
0.775,0.472761919,1551.47925,2201411.1,0.648166564,0.729383379,0.921191235,1249333.66,808.0515061,1048.483498,0.871782176,0.002626197,0.00294334
0.78,0.473442508,1550.9323,2201992.8,0.651695755,0.726477814,0.921191235,1249305.242,809.0695735,1050.705234,0.872890536,0.002695667,0.002992616
0.785,0.474226753,1551.79175,2203737.8,0.653808748,0.72532947,0.921191235,1250084.769,809.6893986,1051.857051,0.873389973,0.002729277,0.003015248
0.79,0.475136472,1553.9013,2205446.45,0.654112062,0.726383902,0.921191235,1251027.525,809.7849849,1050.951774,0.872561853,0.002684081,0.00296846
0.795,0.476079062,1555.77645,2206682.45,0.654662614,0.727212844,0.921191235,1251675.875,809.9504666,1049.992641,0.871640244,0.002633997,0.002914173
