time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
1.425,4.571947416,0,0.167308
1.43,4.578984806,0,0.167761
1.435,4.571947416,0,0.171083
1.44,4.571947416,0,0.166704
1.445,4.564910505,0,0.168667
1.45,4.508612339,0,0.167006
1.455,4.571947416,0,0.167006
1.46,4.578984806,0,0.168818
1.465,4.575466111,0,0.168063
1.47,4.56139181,0,0.166704
1.475,4.589540893,0,0.167761
1.48,4.575466111,0,0.166402
1.485,4.543798332,0,0.166251
1.49,4.554354419,0,0.167006
1.495,4.589540893,0,0.166402
1.5,4.56139181,0,0.165496
1.505,4.571947416,0,0.166553
1.51,4.603615194,0,0.165798
1.515,4.533242727,0,0.166251
1.52,4.554354419,0,0.166553
1.525,4.554354419,0,0.165194
1.53,4.589540893,0,0.1661
1.535,4.571947416,0,0.164439
1.54,4.593059588,0,0.166251
1.545,4.596578284,0,0.169573
1.55,4.536761422,0,0.165345
1.555,4.568429201,0,0.16761
1.56,4.568429201,0,0.166251
1.565,4.568429201,0,0.166855
1.57,4.557873114,0,0.16761
1.575,4.571947416,0,0.165194
1.58,4.571947416,0,0.168818
1.585,4.547317028,0,0.165798
1.59,4.550835723,0,0.165949
1.595,4.610652585,0,0.166855
1.6,4.564910505,0,0.163986
1.605,4.571947416,0,0.164288
1.61,4.603615194,0,0.164892
1.615,4.533242727,0,0.16308
1.62,4.540280117,0,0.165194
1.625,4.603615194,0,0.164137
1.63,4.557873114,0,0.163684
1.635,4.571947416,0,0.163835
1.64,4.578984806,0,0.163382
1.645,4.582503502,0,0.16308
1.65,4.56139181,0,0.164288
1.655,4.547317028,0,0.165345
1.66,4.582503502,0,0.163835
1.665,4.568429201,0,0.165949
1.67,4.56139181,0,0.164137
1.675,4.582503502,0,0.164137
1.68,4.571947416,0,0.165194
1.685,4.526205336,0,0.163533
1.69,4.60713389,0,0.165949
1.695,4.564910505,0,0.163835
1.7,4.56139181,0,0.165345
1.705,4.589540893,0,0.166251
1.71,4.578984806,0,0.16459
1.715,4.547317028,0,0.166855
1.72,4.543798332,0,0.163684
1.725,4.593059588,0,0.164288
1.73,4.564910505,0,0.164137
1.735,4.568429201,0,0.163533
1.74,4.593059588,0,0.166402
1.745,4.536761422,0,0.164288
1.75,4.536761422,0,0.164741
1.755,4.600096499,0,0.165496
1.76,4.571947416,0,0.165345
1.765,4.554354419,0,0.163684
1.77,4.610652585,0,0.165345
1.775,4.571947416,0,0.165949
1.78,4.533242727,0,0.164892
1.785,4.593059588,0,0.166251
1.79,4.589540893,0,0.165496
1.795,4.589540893,0,0.166402
1.8,4.568429201,0,0.1661
1.805,4.60713389,0,0.165949
1.81,4.52268664,0,0.165647
1.815,4.519167945,0,0.164892
1.82,4.60713389,0,0.165496
1.825,4.564910505,0,0.164439
1.83,4.589540893,0,0.1661
1.835,4.600096499,0,0.165949
1.84,4.547317028,0,0.167761
1.845,4.519167945,0,0.165647
1.85,4.582503502,0,0.167006
1.855,4.554354419,0,0.166402
1.86,4.582503502,0,0.166402
1.865,4.578984806,0,0.166402
1.87,4.550835723,0,0.166402
1.875,4.564910505,0,0.165194
1.88,4.540280117,0,0.166251
1.885,4.547317028,0,0.163382
1.89,4.586022197,0,0.165949
1.895,4.571947416,0,0.166402
1.9,4.578984806,0,0.163835
1.905,4.617689976,0,0.167157
1.91,4.519167945,0,0.16308
1.915,4.564910505,0,0.165496
1.92,4.578984806,0,0.163382
1.925,4.617689976,0,0.165496
1.93,4.56139181,0,0.163231
1.935,4.610652585,0,0.163533
1.94,4.578984806,0,0.164137
1.945,4.512131034,0,0.160966
1.95,4.610652585,0,0.163684
1.955,4.571947416,0,0.160815
1.96,4.571947416,0,0.162325
1.965,4.596578284,0,0.162023
1.97,4.557873114,0,0.160815
1.975,4.550835723,0,0.162778
1.98,4.578984806,0,0.162627
1.985,4.564910505,0,0.160664
1.99,4.526205336,0,0.160513
1.995,4.600096499,0,0.161872
2,4.600096499,0,0.161268
2.005,4.536761422,0,0.162929
2.01,4.56139181,0,0.163231
2.015,4.586022197,0,0.162778
2.02,4.56139181,0,0.165194
2.025,4.564910505,0,0.166251
2.03,4.582503502,0,0.167459
2.035,4.575466111,0,0.165647
2.04,4.571947416,0,0.165194
2.045,4.512131034,0,0.165949
2.05,4.589540893,0,0.165496
2.055,4.568429201,0,0.165043
2.06,4.564910505,0,0.165043
2.065,4.614171281,0,0.165496
2.07,4.571947416,0,0.165194
2.075,4.554354419,0,0.164137
2.08,4.571947416,0,0.166251
2.085,4.564910505,0,0.162929
2.09,4.575466111,0,0.167761
2.095,4.628245582,0,0.164892
2.1,4.578984806,0,0.163382
2.105,4.568429201,0,0.167308
2.11,4.529724031,0,0.164137
2.115,4.586022197,0,0.164439
2.12,4.593059588,0,0.166251
2.125,4.571947416,0,0.166855
2.13,4.610652585,0,0.166402
2.135,4.582503502,0,0.164892
2.14,4.526205336,0,0.164892
2.145,4.575466111,0,0.164439
2.15,4.575466111,0,0.163231
2.155,4.571947416,0,0.162023
2.16,4.593059588,0,0.163684
2.165,4.582503502,0,0.163533
2.17,4.550835723,0,0.163533
2.175,4.540280117,0,0.162778
2.18,4.586022197,0,0.163533
2.185,4.56139181,0,0.163684
2.19,4.582503502,0,0.162476
2.195,4.593059588,0,0.163684
2.2,4.543798332,0,0.162627
2.205,4.550835723,0,0.162476
2.21,4.571947416,0,0.16308
2.215,4.593059588,0,0.163684
2.22,4.564910505,0,0.16459
2.225,4.586022197,0,0.164137
2.23,4.586022197,0,0.162325
2.235,4.540280117,0,0.162174
2.24,4.571947416,0,0.163835
2.245,4.575466111,0,0.164741
2.25,4.614171281,0,0.165345
