time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
1.49,4.65094819,0,0.165345
1.495,4.67964994,0,0.166251
1.5,4.6688866,0,0.16459
1.505,4.63659707,0,0.166855
1.51,4.63300929,0,0.163684
1.515,4.68323772,0,0.164288
1.52,4.65453597,0,0.164137
1.525,4.65812375,0,0.163533
1.53,4.68323772,0,0.166402
1.535,4.62583422,0,0.164288
1.54,4.62583422,0,0.164741
1.545,4.69041279,0,0.165496
1.55,4.66171104,0,0.165345
1.555,4.64377263,0,0.163684
1.56,4.70117613,0,0.165345
1.565,4.66171104,0,0.165949
1.57,4.62224644,0,0.164892
1.575,4.68323772,0,0.166251
1.58,4.67964994,0,0.165496
1.585,4.67964994,0,0.166402
1.59,4.65812375,0,0.1661
1.595,4.69758835,0,0.165949
1.6,4.6114831,0,0.165647
1.605,4.60789532,0,0.164892
1.61,4.69758835,0,0.165496
1.615,4.65453597,0,0.164439
1.62,4.67964994,0,0.1661
1.625,4.69041279,0,0.165949
1.63,4.63659707,0,0.167761
1.635,4.60789532,0,0.165647
1.64,4.67247438,0,0.167006
1.645,4.64377263,0,0.166402
1.65,4.67247438,0,0.166402
1.655,4.6688866,0,0.166402
1.66,4.64018485,0,0.166402
1.665,4.65453597,0,0.165194
1.67,4.629422,0,0.166251
1.675,4.63659707,0,0.163382
1.68,4.67606216,0,0.165949
1.685,4.66171104,0,0.166402
1.69,4.6688866,0,0.163835
1.695,4.70835169,0,0.167157
1.7,4.60789532,0,0.16308
1.705,4.65453597,0,0.165496
1.71,4.6688866,0,0.163382
1.715,4.70835169,0,0.165496
1.72,4.65094819,0,0.163231
1.725,4.70117613,0,0.163533
1.73,4.6688866,0,0.164137
1.735,4.60072025,0,0.160966
1.74,4.70117613,0,0.163684
1.745,4.66171104,0,0.160815
1.75,4.66171104,0,0.162325
1.755,4.6868255,0,0.162023
1.76,4.64736041,0,0.160815
1.765,4.64018485,0,0.162778
1.77,4.6688866,0,0.162627
1.775,4.65453597,0,0.160664
1.78,4.61507088,0,0.160513
1.785,4.69041279,0,0.161872
1.79,4.69041279,0,0.161268
1.795,4.62583422,0,0.162929
1.8,4.65094819,0,0.163231
1.805,4.67606216,0,0.162778
1.81,4.65094819,0,0.165194
1.815,4.65453597,0,0.166251
1.82,4.67247438,0,0.167459
1.825,4.66529882,0,0.165647
1.83,4.66171104,0,0.165194
1.835,4.60072025,0,0.165949
1.84,4.67964994,0,0.165496
1.845,4.65812375,0,0.165043
1.85,4.65453597,0,0.165043
1.855,4.70476391,0,0.165496
1.86,4.66171104,0,0.165194
1.865,4.64377263,0,0.164137
1.87,4.66171104,0,0.166251
1.875,4.65453597,0,0.162929
1.88,4.66529882,0,0.167761
1.885,4.71911454,0,0.164892
1.89,4.6688866,0,0.163382
1.895,4.65812375,0,0.167308
1.9,4.61865866,0,0.164137
1.905,4.67606216,0,0.164439
1.91,4.68323772,0,0.166251
1.915,4.66171104,0,0.166855
1.92,4.70117613,0,0.166402
1.925,4.67247438,0,0.164892
1.93,4.61507088,0,0.164892
1.935,4.66529882,0,0.164439
1.94,4.66529882,0,0.163231
1.945,4.66171104,0,0.162023
1.95,4.68323772,0,0.163684
1.955,4.67247438,0,0.163533
1.96,4.64018485,0,0.163533
1.965,4.629422,0,0.162778
1.97,4.67606216,0,0.163533
1.975,4.65094819,0,0.163684
1.98,4.67247438,0,0.162476
1.985,4.68323772,0,0.163684
1.99,4.63300929,0,0.162627
1.995,4.64018485,0,0.162476
2,4.66171104,0,0.16308
2.005,4.68323772,0,0.163684
2.01,4.65453597,0,0.16459
2.015,4.67606216,0,0.164137
2.02,4.67606216,0,0.162325
2.025,4.629422,0,0.162174
2.03,4.66171104,0,0.163835
2.035,4.66529882,0,0.164741
2.04,4.70476391,0,0.165345
2.045,4.66171104,0,0.166251
2.05,4.67964994,0,0.1661
2.055,4.67606216,0,0.167459
2.06,4.60072025,0,0.166855
2.065,4.66171104,0,0.167761
2.07,4.67247438,0,0.167308
2.075,4.66529882,0,0.174707
2.08,4.6868255,0,0.175009
2.085,4.69400057,0,0.172593
2.09,4.66171104,0,0.171838
2.095,4.63659707,0,0.169875
2.1,4.69758835,0,0.171083
2.105,4.66171104,0,0.169875
2.11,4.68323772,0,0.169573
2.115,4.6688866,0,0.168516
2.12,4.67964994,0,0.167157
2.125,4.62224644,0,0.167761
2.13,4.67247438,0,0.167308
2.135,4.66529882,0,0.169573
2.14,4.67606216,0,0.166251
2.145,4.64018485,0,0.16459
2.15,4.67606216,0,0.166553
2.155,4.66529882,0,0.163835
2.16,4.62224644,0,0.163533
2.165,4.67606216,0,0.162778
2.17,4.65812375,0,0.161721
2.175,4.67964994,0,0.162023
2.18,4.67606216,0,0.161872
2.185,4.67247438,0,0.162778
2.19,4.6688866,0,0.16308
2.195,4.64377263,0,0.16308
2.2,4.6868255,0,0.162929
2.205,4.65812375,0,0.160966
2.21,4.67964994,0,0.162023
2.215,4.6688866,0,0.160966
2.22,4.67247438,0,0.162325
2.225,4.61507088,0,0.162023
2.23,4.69758835,0,0.162778
2.235,4.67247438,0,0.162325
2.24,4.63659707,0,0.161721
2.245,4.6868255,0,0.162929
2.25,4.65094819,0,0.16308
2.255,4.629422,0,0.163231
2.26,4.61865866,0,0.16308
2.265,4.68323772,0,0.163231
2.27,4.64736041,0,0.162778
2.275,4.69041279,0,0.162325
2.28,4.65812375,0,0.161872
2.285,4.6688866,0,0.163684
2.29,4.63300929,0,0.161117
2.295,4.67964994,0,0.162778
2.3,4.65094819,0,0.161268
2.305,4.64018485,0,0.16157
2.31,4.72270232,0,0.161117
2.315,4.65453597,0,0.16006
2.32,4.64018485,0,0.162023
2.325,4.64736041,0,0.159154
2.33,4.67247438,0,0.160513
2.335,4.67606216,0,0.158701
2.34,4.66171104,0,0.159305
2.345,4.69400057,0,0.158399
2.35,4.63300929,0,0.159456
2.355,4.64736041,0,0.160513
2.36,4.66171104,0,0.160211
2.365,4.67964994,0,0.160513
2.37,4.64736041,0,0.159305
2.375,4.6868255,0,0.15855
2.38,4.6688866,0,0.160211
2.385,4.59713247,0,0.158248
2.39,4.65453597,0,0.159607
2.395,4.66171104,0,0.159456
2.4,4.65094819,0,0.160513
2.405,4.6688866,0,0.159758
2.41,4.66171104,0,0.162023
2.415,4.65453597,0,0.16308
2.42,4.6114831,0,0.159305
2.425,4.67964994,0,0.160664
2.43,4.67247438,0,0.162627
2.435,4.64377263,0,0.160362
2.44,4.69041279,0,0.161721
2.445,4.63659707,0,0.159003
2.45,4.65453597,0,0.161268
2.455,4.64018485,0,0.158852
2.46,4.6868255,0,0.161721
2.465,4.66171104,0,0.159305
2.47,4.69400057,0,0.162023
2.475,4.69041279,0,0.163231
2.48,4.66171104,0,0.162325
2.485,4.64736041,0,0.162778
2.49,4.64018485,0,0.161872
2.495,4.66171104,0,0.16308
2.5,4.64736041,0,0.162325
2.505,4.68323772,0,0.16308
2.51,4.66171104,0,0.16459
2.515,4.60789532,0,0.163231
2.52,4.65812375,0,0.163684
2.525,4.66529882,0,0.163231
2.53,4.65453597,0,0.163684
2.535,4.67606216,0,0.163231
2.54,4.66529882,0,0.163231
2.545,4.63300929,0,0.163382
2.55,4.62224644,0,0.165043
2.555,4.65094819,0,0.164137
2.56,4.67247438,0,0.164288
2.565,4.66171104,0,0.163835
2.57,4.6868255,0,0.164288
2.575,4.65812375,0,0.163684
2.58,4.63659707,0,0.164288
2.585,4.66529882,0,0.162325
2.59,4.6868255,0,0.164137
2.595,4.66529882,0,0.162627
2.6,4.66529882,0,0.162023
2.605,4.67247438,0,0.163231
2.61,4.61865866,0,0.162023
2.615,4.65094819,0,0.16308
