time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
1.8,4.582503502,0,0.165496
1.805,4.575466111,0,0.164439
1.81,4.571947416,0,0.1661
1.815,4.512131034,0,0.165949
1.82,4.589540893,0,0.167761
1.825,4.568429201,0,0.165647
1.83,4.564910505,0,0.167006
1.835,4.614171281,0,0.166402
1.84,4.571947416,0,0.166402
1.845,4.554354419,0,0.166402
1.85,4.571947416,0,0.166402
1.855,4.564910505,0,0.165194
1.86,4.575466111,0,0.166251
1.865,4.628245582,0,0.163382
1.87,4.578984806,0,0.165949
1.875,4.568429201,0,0.166402
1.88,4.529724031,0,0.163835
1.885,4.586022197,0,0.167157
1.89,4.593059588,0,0.16308
1.895,4.571947416,0,0.165496
1.9,4.610652585,0,0.163382
1.905,4.582503502,0,0.165496
1.91,4.526205336,0,0.163231
1.915,4.575466111,0,0.163533
1.92,4.575466111,0,0.164137
1.925,4.571947416,0,0.160966
1.93,4.593059588,0,0.163684
1.935,4.582503502,0,0.160815
1.94,4.550835723,0,0.162325
1.945,4.540280117,0,0.162023
1.95,4.586022197,0,0.160815
1.955,4.56139181,0,0.162778
1.96,4.582503502,0,0.162627
1.965,4.593059588,0,0.160664
1.97,4.543798332,0,0.160513
1.975,4.550835723,0,0.161872
1.98,4.571947416,0,0.161268
1.985,4.593059588,0,0.162929
1.99,4.564910505,0,0.163231
1.995,4.586022197,0,0.162778
2,4.586022197,0,0.165194
2.005,4.540280117,0,0.166251
2.01,4.571947416,0,0.167459
2.015,4.575466111,0,0.165647
2.02,4.614171281,0,0.165194
2.025,4.571947416,0,0.165949
2.03,4.589540893,0,0.165496
2.035,4.586022197,0,0.165043
2.04,4.512131034,0,0.165043
2.045,4.571947416,0,0.165496
2.05,4.582503502,0,0.165194
2.055,4.575466111,0,0.164137
2.06,4.596578284,0,0.166251
2.065,4.603615194,0,0.162929
2.07,4.571947416,0,0.167761
2.075,4.547317028,0,0.164892
2.08,4.60713389,0,0.163382
2.085,4.571947416,0,0.167308
2.09,4.593059588,0,0.164137
2.095,4.578984806,0,0.164439
2.1,4.589540893,0,0.166251
2.105,4.533242727,0,0.166855
2.11,4.582503502,0,0.166402
2.115,4.575466111,0,0.164892
2.12,4.586022197,0,0.164892
2.125,4.550835723,0,0.164439
2.13,4.586022197,0,0.163231
2.135,4.575466111,0,0.162023
2.14,4.533242727,0,0.163684
2.145,4.586022197,0,0.163533
2.15,4.568429201,0,0.163533
2.155,4.589540893,0,0.162778
2.16,4.586022197,0,0.163533
2.165,4.582503502,0,0.163684
2.17,4.578984806,0,0.162476
2.175,4.554354419,0,0.163684
2.18,4.596578284,0,0.162627
2.185,4.568429201,0,0.162476
2.19,4.589540893,0,0.16308
2.195,4.578984806,0,0.163684
2.2,4.582503502,0,0.16459
2.205,4.526205336,0,0.164137
2.21,4.60713389,0,0.162325
2.215,4.582503502,0,0.162174
2.22,4.547317028,0,0.163835
2.225,4.596578284,0,0.164741
2.23,4.56139181,0,0.165345
2.235,4.540280117,0,0.166251
2.24,4.529724031,0,0.1661
2.245,4.593059588,0,0.167459
2.25,4.557873114,0,0.166855
2.255,4.600096499,0,0.167761
2.26,4.568429201,0,0.167308
2.265,4.578984806,0,0.174707
2.27,4.543798332,0,0.175009
2.275,4.589540893,0,0.172593
2.28,4.56139181,0,0.171838
