t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.31,0.0031046763960000004,0,185558.0,2.84902553786829,0.001089732736591401,0.858229237741639,1.1137528526076543,1556.2481464503599,1335.617660487319
0.315,0.003122269873,0,185709.0,2.8832322861703132,0.001082906114771346,0.858229237741639,1.1137184218839178,1553.5267300310154,1333.282061349672
0.32,0.003122269873,0,184199.0,2.9421525337131045,0.001061219578938547,0.858229237741639,1.1136502620298119,1548.8827548974416,1329.296466035432
0.325,0.003087083399,0,182840.0,2.9136155020996815,0.0010595369899615479,0.858229237741639,1.1136840896123237,1551.1253244894851,1331.221104833488
0.33,0.0030800460080000003,0,182236.0,2.921039026850902,0.001054435075905343,0.858229237741639,1.1136752184468182,1550.5405182691757,1330.719207030291
0.335,0.003087083399,0,181330.0,2.974309153953626,0.0010379161140315451,0.858229237741639,1.1136172574740169,1546.3781854462502,1327.1469713070699
0.34,0.003118751178,0,181632.0,3.038799879005031,0.0010263101560413208,0.858229237741639,1.113593817539815,1541.456802122394,1322.9232962996225
0.345,0.0031046763960000004,0,183444.0,2.9308960492256526,0.0010592925657736175,0.858229237741639,1.1136634388861095,1549.7654784220024,1330.0540451727227
0.35,0.003087083399,0,181632.0,2.9619899275126724,0.0010422329158939357,0.858229237741639,1.1136287808426377,1547.334353093583,1327.9675823369093
0.355,0.00309412079,0,180575.0,3.022802800573704,0.001023593331795498,0.858229237741639,1.1135940125496857,1542.6641472819083,1323.9594752168061
0.36,0.0031257885689999995,0,182236.0,3.03063440164112,0.0010313974418383663,0.858229237741639,1.1135936020947144,1542.0720712609077,1323.451338263962
0.365,0.0031046763960000004,0,181330.0,3.016973495636141,0.0010290698279221597,0.858229237741639,1.113594796981062,1543.106159918679,1324.3388233854096
0.37,0.0031011581810000003,0,181028.0,3.0210243993536574,0.0010265253672441332,0.858229237741639,1.1135942050854928,1542.7988750479713,1324.0751025249383
0.375,0.0031152324819999997,0,182689.0,2.986303283263454,0.0010431735113640738,0.858229237741639,1.1136078987244067,1545.4518012875203,1326.3519213382442
0.38,0.0031152324819999997,0,182840.0,2.9801404686317734,0.001045330753630633,0.858229237741639,1.1136124516430872,1545.927205551495,1326.759927176485
0.385,0.003143381565,0,182085.0,3.08046800366532,0.0010204233776360677,0.858229237741639,1.1135991736757365,1538.3453055327846,1320.2526700159085
0.39,0.0031257885689999995,0,183444.0,2.980772272178597,0.0010486505789707352,0.858229237741639,1.1136119590936198,1545.878409389886,1326.718048883986
0.395,0.0031363441739999994,0,184048.0,2.981398931604664,0.0010519706506743598,0.858229237741639,1.1136114762175553,1545.830023521303,1326.676522716958
0.4,0.0031046763960000004,0,181783.0,2.998123569982602,0.001035539838012086,0.858229237741639,1.1136008848817158,1544.5436882535557,1325.5725521831728
0.405,0.0031257885689999995,0,183142.0,2.993085860714557,0.0010443364188201943,0.858229237741639,1.11360357988446,1544.9301021138435,1325.9041838551163
0.41,0.003153937652,0,184199.0,3.01730842056128,0.0010452818248567722,0.858229237741639,1.113594739621384,1543.0807327039777,1324.3170010063507
0.415,0.003153937652,0,184350.0,3.0110961822041578,0.0010474383616969952,0.858229237741639,1.1135960686937116,1543.552995364944,1324.7223106261501
0.42,0.0031363441739999994,0,184048.0,2.981398931604664,0.0010519706506743598,0.858229237741639,1.1136114762175553,1545.830023521303,1326.676522716958
0.425,0.0031328254789999995,0,184350.0,2.9609206164359274,0.0010580579099655142,0.858229237741639,1.1136298576456622,1547.4175559066068,1328.0389894236127
0.43,0.003122269873,0,182236.0,3.0220424138531756,0.0010331654707053009,0.858229237741639,1.1135940900411132,1542.7217396265978,1324.0089026509568
0.435,0.003118751178,0,184501.0,2.922022682387206,0.0010673261356931264,0.858229237741639,1.1136740399725304,1550.4630965758422,1330.6527614692448
0.44,0.0031504189560000004,0,185709.0,2.948090026897459,0.001068630512384817,0.858229237741639,1.113643541993756,1548.418275445461,1328.8978361897082
0.445,0.00313986287,0,187068.0,2.8713455773078183,0.0010935161879553155,0.858229237741639,1.113730769415396,1554.469841326507,1334.0914670376044
0.45,0.003160974562,0,184350.0,3.0280385321725265,0.0010439016968955463,0.858229237741639,1.1135936639058932,1542.2681028633149,1323.6195783168762
0.455,0.0031257885689999995,0,182840.0,3.005499885440995,0.0010400228541487216,0.858229237741639,1.1135977837226283,1543.979609943944,1325.0884437169568
0.46,0.003118751178,0,181783.0,3.032431322817723,0.0010284655598076559,0.858229237741639,1.1135935986335896,1541.9364977283494,1323.334985094319
0.465,0.00313986287,0,182236.0,3.0652683182534375,0.0010243354068883164,0.858229237741639,1.1135970899669372,1539.4753603190077,1321.2227237093723
0.47,0.003168011953,0,181934.0,3.149029405085404,0.0010060280630863406,0.858229237741639,1.113591671212793,1533.300089222612,1315.9231284934422
0.475,0.003118751178,0,180122.0,3.1038538109407225,0.0010047996355391372,0.858229237741639,1.1135997498986636,1536.6156150967195,1318.7688194319214
0.48,0.00313986287,0,179971.0,3.164568048808845,0.0009921931908469645,0.858229237741639,1.1135902839565754,1532.167477142996,1314.9510465763815
0.485,0.0031504189560000004,0,179216.0,3.226638609980861,0.0009763780010116123,0.858229237741639,1.1136239184654795,1527.684318953746,1311.10338490298
0.49,0.003160974562,0,179971.0,3.219504496972882,0.0009818202040009839,0.858229237741639,1.113616361917035,1528.1959755602784,1311.5425090120686
0.495,0.0031328254789999995,0,177706.0,3.250563574477246,0.0009637791746632179,0.858229237741639,1.113652195277245,1525.9769887394732,1309.6380899709832
0.5,0.0031257885689999995,0,177857.0,3.224668713978001,0.0009693363400248264,0.858229237741639,1.1136217692291808,1527.8254903516206,1311.224543767081
0.505,0.003153937652,0,178310.0,3.2786873793255515,0.0009619513198750857,0.858229237741639,1.1136838128749873,1523.989587733165,1307.9324337554845
0.51,0.003178568039,0,177102.0,3.4067610656269243,0.0009330176016952538,0.858229237741639,1.1137026599900233,1515.2492562395237,1300.4312144215494
0.515,0.003171530648,0,177404.0,3.371566639083188,0.0009406697204900619,0.858229237741639,1.1136983336175932,1517.6062082129208,1302.4540199935004
0.52,0.0031469002610000005,0,176045.0,3.370618610914128,0.0009336269166764453,0.858229237741639,1.113698464163412,1517.670087196418,1302.5088428268057
0.525,0.0031469002610000005,0,174535.0,3.448598027287322,0.0009125158212409471,0.858229237741639,1.1137372173996851,1512.4774799799934,1298.0523948297275
0.53,0.0031644932580000003,0,175894.0,3.4286218642442523,0.0009229636230816978,0.858229237741639,1.1137174124955465,1513.7975413628785,1299.1853101574009
0.535,0.0031644932580000003,0,174686.0,3.4922247696795834,0.0009061539467547923,0.858229237741639,1.113790415829677,1509.609693576838,1295.5909216397968
0.54,0.003157455867,0,174988.0,3.4555612780966816,0.0009137316959226729,0.858229237741639,1.1137451138360241,1512.0185462884276,1297.6585026009445
0.545,0.003129307264,0,175441.0,3.351381818985152,0.0009337364206826187,0.858229237741639,1.113702140265626,1518.9712589340609,1303.6255470805313
0.55,0.0031469002610000005,0,174837.0,3.4327528216789873,0.0009167278928812666,0.858229237741639,1.1137210920068787,1513.5240972003514,1298.9506323684413
0.555,0.003160974562,0,174988.0,3.465843449925415,0.0009120361631071432,0.858229237741639,1.1137574049410555,1511.3418346341207,1297.0776443440009
0.56,0.0031644932580000003,0,174837.0,3.4841738511175953,0.0009082478065739879,0.858229237741639,1.1137803134392283,1510.1377854262798,1296.0441816711477
0.565,0.003160974562,0,174233.0,3.506100752352095,0.000901564097916877,0.858229237741639,1.1138073264437112,1508.7002545186474,1294.8103672297607
0.57,0.003157455867,0,174384.0,3.487600351780662,0.0009053376386396738,0.858229237741639,1.113784626082468,1509.9129817209557,1295.8512322468378
0.575,0.0031469002610000005,0,171817.0,3.5965519693363954,0.0008749770023705897,0.858229237741639,1.1138971620007188,1502.8212249486323,1289.7649754572546
0.58,0.003160974562,0,173629.0,3.538820332118624,0.0008932283262054123,0.858229237741639,1.1138436380103507,1506.560743443527,1292.974755486454
0.585,0.003168011953,0,174233.0,3.5270145518550757,0.0008982134625256213,0.858229237741639,1.1138310931101334,1507.3316288061378,1293.6363916391754
