time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
1.9,4.6688866,0,0.163835
1.905,4.70835169,0,0.167157
1.91,4.60789532,0,0.16308
1.915,4.65453597,0,0.165496
1.92,4.6688866,0,0.163382
1.925,4.70835169,0,0.165496
1.93,4.65094819,0,0.163231
1.935,4.70117613,0,0.163533
1.94,4.6688866,0,0.164137
1.945,4.60072025,0,0.160966
1.95,4.70117613,0,0.163684
1.955,4.66171104,0,0.160815
1.96,4.66171104,0,0.162325
1.965,4.6868255,0,0.162023
1.97,4.64736041,0,0.160815
1.975,4.64018485,0,0.162778
1.98,4.6688866,0,0.162627
1.985,4.65453597,0,0.160664
1.99,4.61507088,0,0.160513
1.995,4.69041279,0,0.161872
2,4.69041279,0,0.161268
2.005,4.62583422,0,0.162929
2.01,4.65094819,0,0.163231
2.015,4.67606216,0,0.162778
2.02,4.65094819,0,0.165194
2.025,4.65453597,0,0.166251
2.03,4.67247438,0,0.167459
2.035,4.66529882,0,0.165647
2.04,4.66171104,0,0.165194
2.045,4.60072025,0,0.165949
2.05,4.67964994,0,0.165496
2.055,4.65812375,0,0.165043
2.06,4.65453597,0,0.165043
2.065,4.70476391,0,0.165496
2.07,4.66171104,0,0.165194
2.075,4.64377263,0,0.164137
2.08,4.66171104,0,0.166251
2.085,4.65453597,0,0.162929
2.09,4.66529882,0,0.167761
2.095,4.71911454,0,0.164892
2.1,4.6688866,0,0.163382
2.105,4.65812375,0,0.167308
2.11,4.61865866,0,0.164137
2.115,4.67606216,0,0.164439
2.12,4.68323772,0,0.166251
2.125,4.66171104,0,0.166855
2.13,4.70117613,0,0.166402
2.135,4.67247438,0,0.164892
2.14,4.61507088,0,0.164892
2.145,4.66529882,0,0.164439
2.15,4.66529882,0,0.163231
2.155,4.66171104,0,0.162023
2.16,4.68323772,0,0.163684
2.165,4.67247438,0,0.163533
2.17,4.64018485,0,0.163533
2.175,4.629422,0,0.162778
2.18,4.67606216,0,0.163533
2.185,4.65094819,0,0.163684
2.19,4.67247438,0,0.162476
2.195,4.68323772,0,0.163684
2.2,4.63300929,0,0.162627
2.205,4.64018485,0,0.162476
2.21,4.66171104,0,0.16308
2.215,4.68323772,0,0.163684
2.22,4.65453597,0,0.16459
2.225,4.67606216,0,0.164137
2.23,4.67606216,0,0.162325
2.235,4.629422,0,0.162174
2.24,4.66171104,0,0.163835
2.245,4.66529882,0,0.164741
2.25,4.70476391,0,0.165345
2.255,4.66171104,0,0.166251
2.26,4.67964994,0,0.1661
2.265,4.67606216,0,0.167459
2.27,4.60072025,0,0.166855
2.275,4.66171104,0,0.167761
2.28,4.67247438,0,0.167308
2.285,4.66529882,0,0.174707
2.29,4.6868255,0,0.175009
2.295,4.69400057,0,0.172593
2.3,4.66171104,0,0.171838
2.305,4.63659707,0,0.169875
2.31,4.69758835,0,0.171083
2.315,4.66171104,0,0.169875
2.32,4.68323772,0,0.169573
2.325,4.6688866,0,0.168516
2.33,4.67964994,0,0.167157
2.335,4.62224644,0,0.167761
2.34,4.67247438,0,0.167308
2.345,4.66529882,0,0.169573
2.35,4.67606216,0,0.166251
2.355,4.64018485,0,0.16459
2.36,4.67606216,0,0.166553
2.365,4.66529882,0,0.163835
2.37,4.62224644,0,0.163533
2.375,4.67606216,0,0.162778
2.38,4.65812375,0,0.161721
2.385,4.67964994,0,0.162023
2.39,4.67606216,0,0.161872
2.395,4.67247438,0,0.162778
2.4,4.6688866,0,0.16308
2.405,4.64377263,0,0.16308
2.41,4.6868255,0,0.162929
2.415,4.65812375,0,0.160966
2.42,4.67964994,0,0.162023
2.425,4.6688866,0,0.160966
2.43,4.67247438,0,0.162325
2.435,4.61507088,0,0.162023
2.44,4.69758835,0,0.162778
2.445,4.67247438,0,0.162325
2.45,4.63659707,0,0.161721
2.455,4.6868255,0,0.162929
2.46,4.65094819,0,0.16308
2.465,4.629422,0,0.163231
2.47,4.61865866,0,0.16308
2.475,4.68323772,0,0.163231
2.48,4.64736041,0,0.162778
2.485,4.69041279,0,0.162325
2.49,4.65812375,0,0.161872
2.495,4.6688866,0,0.163684
2.5,4.63300929,0,0.161117
2.505,4.67964994,0,0.162778
2.51,4.65094819,0,0.161268
2.515,4.64018485,0,0.16157
2.52,4.72270232,0,0.161117
2.525,4.65453597,0,0.16006
2.53,4.64018485,0,0.162023
2.535,4.64736041,0,0.159154
2.54,4.67247438,0,0.160513
2.545,4.67606216,0,0.158701
2.55,4.66171104,0,0.159305
2.555,4.69400057,0,0.158399
2.56,4.63300929,0,0.159456
2.565,4.64736041,0,0.160513
2.57,4.66171104,0,0.160211
2.575,4.67964994,0,0.160513
2.58,4.64736041,0,0.159305
2.585,4.6868255,0,0.15855
2.59,4.6688866,0,0.160211
2.595,4.59713247,0,0.158248
2.6,4.65453597,0,0.159607
2.605,4.66171104,0,0.159456
2.61,4.65094819,0,0.160513
2.615,4.6688866,0,0.159758
